RACE,DATE,CLASS,DIST,SURF,FIN,STARTER NAME,ODDS,FAV,JOCKEY,TRAINER,SIRE,BR-SIRE,TIME,EQB COMMENT,PREV RACE DATE,PREV TRACK,PREV RACE #,WATCH
6,8/6/2017,MSW-F,5.5,D,5,Smarty Smart,20.6,,Jose Lezcano,Michael Trombetta,Congrats,Smarty Jones,01:06.0,"4w bid turn, wknd late",,,,
6,8/6/2017,MSW-F,5.5,D,6,My Bronx Tail,5.1,,Manuel Franco,William Mott,Speightstown,Malibu Moon,01:06.1,"6w upper, wknd late",,,,
6,8/6/2017,MSW-F,5.5,D,7,Wine Halo,24.5,,Angel Arroyo,D. Wayne Lukas,Snapy Halo (ARG),Tiznow,01:06.2,"4w upper, improved",,,,
6,8/6/2017,MSW-F,5.5,D,8,History Supreme,2.5,Y,John Velazquez,Kiaran McLaughlin,Speightstown,Empire Maker,01:06.5,"stumbled st, weakened",6/29/2017,BEL,3,
6,8/6/2017,MSW-F,5.5,D,9,Ornamental Iron,23.4,,"Irad Ortiz, Jr.",Chad Summers,Flat Out,Consolidator,01:07.3,got out 7-8w thru turn,,,,
6,8/6/2017,MSW-F,5.5,D,10,Tied Up,17.6,,"Ricardo Santana, Jr.",Steven Asmussen,Even the Score,Distorted Humor,01:08.5,"vied inside, tired",,,,
6,8/7/2017,MSW-NY,6,D,1,Barely Impazible,1.2,Y,Javier Castellano,Chad Brown,Mission Impazible,Deputy Minister,01:11.5,"3-4w,bid upr,kick clr",,,,
6,8/7/2017,MSW-NY,6,D,2,Ultimateenticement,7,,Jose Ortiz,"Richard Violette, Jr.",Drosselmeyer,Unbridled's Song,01:11.9,"vied inside,held well",6/18/2017,GG,7,
6,8/7/2017,MSW-NY,6,D,3,Collective Effort,2.35,,Manuel Franco,Raymond Handal,Mission Impazible,Freud,01:12.6,"spar 2w,wknd final 1/8",7/15/2017,BEL,9,
6,8/7/2017,MSW-NY,6,D,4,Honor Up,16.3,,Junior Alvarado,William Mott,To Honor and Serve,Yes It's True,01:12.6,"3w trn,5p1/8,no impact",,,,
6,8/7/2017,MSW-NY,6,D,5,Bad Guy,20.8,,Tyler Gaffalione,"Dominic Giglio, Jr.",Power Broker,With Approval,01:13.1,"2w turn,4w 1/8,outkick",7/15/2017,BEL,9,
6,8/7/2017,MSW-NY,6,D,6,Mr. Hot Rocks,33,,Rosario Montanez,Carlos Martin,Bustin Stones,Jelly Roll Blues,01:13.7,"squeezed brk,2w turn",7/14/2017,BEL,7,
6,8/7/2017,MSW-NY,6,D,7,Banker's Island,46.75,,Eric Cancel,Michael Dilger,Shackleford,Peaks and Valleys,01:14.4,"inside trip,whip 5/16",,,,
6,8/7/2017,MSW-NY,6,D,8,Raging Fire,10.7,,Angel Arroyo,John Kimmel,Tapizar,Lemon Drop Kid,01:15.1,"2w turn,4p1/8,no bids",7/14/2017,BEL,7,
6,8/7/2017,MSW-NY,6,D,9,Wicked Huntsman,68,,Dylan Davis,Mitchell Friedman,Desert Party,Vindication,01:16.1,"stumble bad brk,2w trn",7/14/2017,BEL,7,
6,8/7/2017,MSW-NY,6,D,10,Unbridled Charge,15.5,,Florent Geroux,Michael Maker,Take Charge Indy,Unbridled ,,"ins,eased,walked off",7/14/2017,BEL,7,
4,8/9/2017,MSW-F,5.5,D,1,Lady Ivanka,7.6,,"Irad Ortiz, Jr.",Rudy Rodriguez,Tiz Wonderful,Officer,01:05.8,"3w turn,strong urging",,,,
4,8/9/2017,MSW-F,5.5,D,2,Everybody Loves Me,1.2,Y,Luis Saez,"John Terranova, II",Maclean's Music,Forestry,01:07.0,"ins-2path turn,wknd",,,,
4,8/9/2017,MSW-F,5.5,D,3,Hint of Mint,2.1,,Channing Hill,Wayne Catalano,More Than Ready,Tiznow,01:07.4,"chased,ins turn,tired",,,,
4,8/9/2017,MSW-F,5.5,D,4,Princess Char,4.7,,Manuel Franco,Charlton Baker,Speightstown,Tiznow,01:07.5,"2p turn,drift out 3/16",,,,
4,8/9/2017,MSW-F,5.5,D,5,Grand Tap,19.6,,Tyler Gaffalione,Jaime Mejia,Tapizar,Alphabet Soup,01:07.5,"2p turn,3p into lane",,,,
